trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,text_4.stopped,polygon_2.stopped,a_card.started,a_card.stopped,text_5.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,psychopyVersion,frameRate,
121,0,121,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.1629710000125,372.66831320000347,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
122,0,122,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.16239670000505,374.6682076000143,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
123,0,123,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.16230670001823,376.6677419000189,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
124,0,124,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.16200860001845,378.6678560000146,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
125,0,125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.1617982000171,380.66801180000766,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
126,0,126,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.16160530000343,382.6671103000117,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
127,0,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.1613636999973,384.6673470000096,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
128,0,128,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.1612385000044,386.66762630001176,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
129,0,129,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.16103450002265,388.667122200015,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
130,0,130,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.1607718000014,390.6668083000113,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
131,0,131,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.16058769999654,392.6669486000028,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
132,0,132,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.16036229999736,394.66705380001804,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
133,0,133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.16016130000935,396.6661616000056,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
134,0,134,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.15993960000924,398.6650663000182,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
135,0,135,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.1597576000204,400.66568360000383,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
136,0,136,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.1595930000185,402.66539199999534,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
137,0,137,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.1654465000029,,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
138,0,138,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.1655257999955,,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
139,0,139,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.1649841000035,,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
140,0,140,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409.1647804999957,,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
141,0,141,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.16454850000446,,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
142,0,142,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.16439410002204,414.6703669000126,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
143,0,143,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.1648118000012,416.6705529000028,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
144,0,144,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.16406420001294,418.6657838000101,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
145,0,145,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.163793100015,420.66955439999583,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
146,0,146,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.1635394000041,422.669470199995,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
147,0,147,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.1633626999974,424.66976030002115,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
148,0,148,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.16313460000674,426.6688792000059,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
149,0,149,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.1630325000151,428.66911820002133,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
150,0,150,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.1627133000002,430.66905240001506,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
151,0,151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.1625713999965,432.6684670000104,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
152,0,152,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.16245669999626,434.66790760000004,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
153,0,153,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.16227640002035,436.6677152000193,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
154,0,154,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.16191700001946,438.66807630000403,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
155,0,155,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.1618481000187,440.6679281000106,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
156,0,156,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.1615395999979,442.6668101999967,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
157,0,157,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.16137390001677,444.6670224000118,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
158,0,158,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.1611316000053,446.66675669999677,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
159,0,159,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.16092819999903,448.6669632999983,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
160,0,160,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.1606879000028,450.66638780001085,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
161,0,161,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.16050230001565,452.666848199995,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
162,0,162,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.1603881000192,454.6667052000121,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
163,0,163,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.16021050000563,456.66616010002326,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
164,0,164,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.1599431000068,458.66557850001846,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
165,0,165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.1597438000026,460.66551429999527,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
166,0,166,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.16556350002065,,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
167,0,167,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.1653458000219,,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
168,0,168,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.1653248000075,466.6683064000099,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
169,0,169,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.1648860000132,,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
170,0,170,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.16470190000837,,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
171,0,171,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.1646376000135,,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
172,0,172,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.16461970002274,474.6702046999999,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
173,0,173,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.1641309999977,476.66583800001536,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
174,0,174,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.1639173000003,478.66526989999693,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
175,0,175,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.1637629000179,480.66918460000306,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
176,0,176,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.163524100004,482.66941520001274,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
177,0,177,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.163432500005,484.6698218000238,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
178,0,178,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.16312030001427,486.66929750001873,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
179,0,179,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.1628524000116,488.6657559000014,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.6657559000014,488.6657559000014,space,47.5613835999975,None,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
