trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,text_4.stopped,polygon_2.stopped,a_card.started,a_card.stopped,text_5.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,psychopyVersion,frameRate,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.16406720000668,180.6714525000134,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.1638087000174,182.67092230002163,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.16356220000307,184.67103710002266,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.16346480001812,186.66896490001818,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.16321009999956,188.6705925000133,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.16295369999716,190.67065980000189,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.1627955000149,192.66865170001984,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.1626320000214,194.66867850002018,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.16236869999557,196.66817530000117,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.16214210001635,198.6681170000229,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.1619244000176,200.66400620000786,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.16205470002024,202.66777920001186,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.1615635000053,204.66701830000966,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.16130249999696,206.6672412000189,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.16113730001962,208.66700790001778,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.16091619999497,210.6672029000183,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.16068130001076,212.66688640002394,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.16055630001938,214.66628440000932,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.1602502000169,216.6659556000086,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.16011930000968,218.66587580001215,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.1599200000055,220.66612900001928,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.15976150002098,222.66575529999682,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.15955010001198,224.66548310001963,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.1658185000124,,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.16524270002265,,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.16501340002287,,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.1647792000149,,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.15848080001888,234.6643643999996,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.15826039999956,236.66429310000967,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.1643180999963,238.6714944000123,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.16390640000463,240.669472700014,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.16381420000107,242.67138720001094,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.16355820000172,244.67118170001777,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.16336450001108,246.66866880000453,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.1631350000098,248.67105240002275,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.16294800001197,250.670792000019,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.16275519999908,252.66812879999634,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.16250840001157,254.66806670001824,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
63,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.16227410000283,256.6679648999998,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
