trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,card_shown.started,card_shown.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.311829400015995,7.311829400015995,space,17.834784400009084,None,,,,,,,,,,,,,,,,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
,,,,,,,,,25.301343300030567,25.301343300030567,25.301343300030567,25.301343300030567,25.301343300030567,25.301343300030567,25.301343300030567,25.301343300030567,25.301343300030567,25.301343300030567,space,7.365038699994329,None,,,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
0,0,0,0,,,,,,,,,,,,,,,,,,,32.97459950001212,34.278096300025936,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
1,0,1,0,,,,,,,,,,,,,,,,,,,34.56953130004695,35.87764070002595,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
2,0,2,0,,,,,,,,,,,,,,,,,,,36.16904780000914,37.476556300011,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
3,0,3,0,,,,,,,,,,,,,,,,,,,37.77401340001961,,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
4,0,4,0,,,,,,,,,,,,,,,,,,,39.37240799999563,,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
5,0,5,0,,,,,,,,,,,,,,,,,,,40.97318450000603,42.2759733000421,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
6,0,6,0,,,,,,,,,,,,,,,,,,,42.57306550000794,,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
7,0,7,0,,,,,,,,,,,,,,,,,,,44.17009400000097,45.47635240003001,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
8,0,8,0,,,,,,,,,,,,,,,,,,,45.7737780000316,,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
9,0,9,0,,,,,,,,,,,,,,,,,,,47.37335930002155,,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
10,0,10,0,,,,,,,,,,,,,,,,,,,48.972112599993125,50.27593629999319,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
11,0,11,0,,,,,,,,,,,,,,,,,,,50.573482000036165,,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
12,0,12,0,,,,,,,,,,,,,,,,,,,52.172408500046004,,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
13,0,13,0,,,,,,,,,,,,,,,,,,,53.77037790004397,55.077291599998716,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
14,0,14,0,,,,,,,,,,,,,,,,,,,55.37483330001123,,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
15,0,15,0,,,,,,,,,,,,,,,,,,,56.97387680003885,,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
16,0,16,0,,,,,,,,,,,,,,,,,,,58.5722087000031,,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
17,0,17,0,,,,,,,,,,,,,,,,,,,60.17456160002621,,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
18,0,18,0,,,,,,,,,,,,,,,,,,,61.77062960003968,63.07889490004163,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
19,0,19,0,,,,,,,,,,,,,,,,,,,63.370368300005794,64.6782143000164,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
20,0,20,0,,,,,,,,,,,,,,,,,,,64.96975089999614,66.27749840001343,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
21,0,21,0,,,,,,,,,,,,,,,,,,,66.56897890003165,67.87603640003363,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
22,0,22,0,,,,,,,,,,,,,,,,,,,68.17494799999986,,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
23,0,23,0,,,,,,,,,,,,,,,,,,,69.77032990002772,71.07687180000357,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
24,0,24,0,,,,,,,,,,,,,,,,,,,71.37440930004232,,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
25,0,25,0,,,,,,,,,,,,,,,,,,,72.9748298000195,,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
26,0,26,0,,,,,,,,,,,,,,,,,,,74.57000170001993,75.8775244000135,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
27,0,27,0,,,,,,,,,,,,,,,,,,,76.1689646000159,77.47628580004675,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
28,0,28,0,,,,,,,,,,,,,,,,,,,77.77386090002256,,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
29,0,29,0,,,,,,,,,,,,,,,,,,,79.37143440003274,80.67779770004563,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
30,0,30,0,,,,,,,,,,,,,,,,,,,80.96916380000766,82.27720240002964,669592,001,2023-07-31_09h34.56.558,magic_trick,2023.1.3,164.86496723204175,
