trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,a_card.started,a_card.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.305499200010672,7.305499200010672,space,0.6851881000038702,None,,,,,,,,,,,,,,,,525601,001,2023-08-03_17h02.48.656,magic_trick,2023.1.3,162.48616838018447,
,,,,,,,,,8.159072200010996,8.159072200010996,8.159072200010996,8.159072200010996,8.159072200010996,8.159072200010996,8.159072200010996,8.159072200010996,8.159072200010996,8.159072200010996,space,0.7754474000103073,None,,,525601,001,2023-08-03_17h02.48.656,magic_trick,2023.1.3,162.48616838018447,
0,0,0,0,,,,,,,,,,,,,,,,,,,9.24152770001092,,525601,001,2023-08-03_17h02.48.656,magic_trick,2023.1.3,162.48616838018447,
1,0,1,0,,,,,,,,,,,,,,,,,,,10.838655200001085,12.146001500004786,525601,001,2023-08-03_17h02.48.656,magic_trick,2023.1.3,162.48616838018447,
2,0,2,0,,,,,,,,,,,,,,,,,,,12.437413700012257,13.744925999999396,525601,001,2023-08-03_17h02.48.656,magic_trick,2023.1.3,162.48616838018447,
3,0,3,0,,,,,,,,,,,,,,,,,,,14.036603500004276,15.342754200013587,525601,001,2023-08-03_17h02.48.656,magic_trick,2023.1.3,162.48616838018447,
4,0,4,0,,,,,,,,,,,,,,,,,,,15.640171900013229,,525601,001,2023-08-03_17h02.48.656,magic_trick,2023.1.3,162.48616838018447,
5,0,5,0,,,,,,,,,,,,,,,,,,,17.237258900000597,18.54434510000283,525601,001,2023-08-03_17h02.48.656,magic_trick,2023.1.3,162.48616838018447,
6,0,6,0,,,,,,,,,,,,,,,,,,,18.841698400006862,,525601,001,2023-08-03_17h02.48.656,magic_trick,2023.1.3,162.48616838018447,
7,0,7,0,,,,,,,,,,,,,,,,,,,20.43911500000104,,525601,001,2023-08-03_17h02.48.656,magic_trick,2023.1.3,162.48616838018447,
8,0,8,0,,,,,,,,,,,,,,,,,,,22.036860600012005,23.344104800009518,525601,001,2023-08-03_17h02.48.656,magic_trick,2023.1.3,162.48616838018447,
9,0,9,0,,,,,,,,,,,,,,,,,,,23.63558150001336,24.94261810000171,525601,001,2023-08-03_17h02.48.656,magic_trick,2023.1.3,162.48616838018447,
10,0,10,0,,,,,,,,,,,,,,,,,,,25.23422510000819,26.54012530000182,525601,001,2023-08-03_17h02.48.656,magic_trick,2023.1.3,162.48616838018447,
11,0,11,0,,,,,,,,,,,,,,,,,,,26.837572800010093,28.144865800000844,525601,001,2023-08-03_17h02.48.656,magic_trick,2023.1.3,162.48616838018447,
12,0,12,0,,,,,,,,,,,,,,,,,,,28.436221600000863,29.74275910000142,525601,001,2023-08-03_17h02.48.656,magic_trick,2023.1.3,162.48616838018447,
13,0,13,0,,,,,,,,,,,,,,,,,,,30.03440010000486,31.340887900005328,525601,001,2023-08-03_17h02.48.656,magic_trick,2023.1.3,162.48616838018447,
14,0,14,0,,,,,,,,,,,,,,,,,,,31.63831890000438,32.94545250000374,525601,001,2023-08-03_17h02.48.656,magic_trick,2023.1.3,162.48616838018447,
15,0,15,0,,,,,,,,,,,,,,,,,,,33.23695720000251,34.54363650000596,525601,001,2023-08-03_17h02.48.656,magic_trick,2023.1.3,162.48616838018447,
16,0,16,0,,,,,,,,,,,,,,,,,,,34.84097910000128,,525601,001,2023-08-03_17h02.48.656,magic_trick,2023.1.3,162.48616838018447,
17,0,17,0,,,,,,,,,,,,,,,,,,,36.438768500011065,37.74234310000611,525601,001,2023-08-03_17h02.48.656,magic_trick,2023.1.3,162.48616838018447,
