trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,a_card.started,a_card.stopped,text_5.started,key_resp_4.started,participant,session,date,expName,psychopyVersion,frameRate,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,66.76855400000932,68.27570120000746,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,68.76833240000997,70.27532369998517,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,70.76811870001256,72.27515949995723,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,72.76792489999207,74.27471500000684,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,74.7678401999874,76.27416279999306,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,76.76754949998576,78.2744410999585,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,78.76740819995757,80.27414090000093,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,80.76712979999138,82.27403829997638,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,82.7670184999588,84.27332039998146,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,84.76674819999607,86.27479349996429,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
