trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,card_shown.started,card_shown.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,9.192322399991099,9.192322399991099,space,67.48839670000598,None,,,,,,,,,,,,,,,,825231,001,2023-07-30_17h41.49.946,magic_trick,2023.1.3,164.35582389174962,
,,,,,,,,,76.84566009999253,76.84566009999253,76.84566009999253,76.84566009999253,76.84566009999253,76.84566009999253,76.84566009999253,76.84566009999253,76.84566009999253,76.84566009999253,space,6.37131000001682,None,,,825231,001,2023-07-30_17h41.49.946,magic_trick,2023.1.3,164.35582389174962,
0,0,0,0,,,,,,,,,,,,,,,,,,,83.52440110000316,84.82531350001227,825231,001,2023-07-30_17h41.49.946,magic_trick,2023.1.3,164.35582389174962,
1,0,1,0,,,,,,,,,,,,,,,,,,,85.12242710002465,,825231,001,2023-07-30_17h41.49.946,magic_trick,2023.1.3,164.35582389174962,
2,0,2,0,,,,,,,,,,,,,,,,,,,86.71863220003434,88.02445710002212,825231,001,2023-07-30_17h41.49.946,magic_trick,2023.1.3,164.35582389174962,
3,0,3,0,,,,,,,,,,,,,,,,,,,88.32187949999934,,825231,001,2023-07-30_17h41.49.946,magic_trick,2023.1.3,164.35582389174962,
4,0,4,0,,,,,,,,,,,,,,,,,,,89.91919839999173,91.22718780004652,825231,001,2023-07-30_17h41.49.946,magic_trick,2023.1.3,164.35582389174962,
5,0,5,0,,,,,,,,,,,,,,,,,,,91.51870400004555,92.8272676000488,825231,001,2023-07-30_17h41.49.946,magic_trick,2023.1.3,164.35582389174962,
6,0,6,0,,,,,,,,,,,,,,,,,,,93.11883849999867,94.42641640000511,825231,001,2023-07-30_17h41.49.946,magic_trick,2023.1.3,164.35582389174962,
7,0,7,0,,,,,,,,,,,,,,,,,,,94.72471899999073,,825231,001,2023-07-30_17h41.49.946,magic_trick,2023.1.3,164.35582389174962,
8,0,8,0,,,,,,,,,,,,,,,,,,,96.32215970003745,,825231,001,2023-07-30_17h41.49.946,magic_trick,2023.1.3,164.35582389174962,
9,0,9,0,,,,,,,,,,,,,,,,,,,97.92263500002446,,825231,001,2023-07-30_17h41.49.946,magic_trick,2023.1.3,164.35582389174962,
10,0,10,0,,,,,,,,,,,,,,,,,,,99.52065080002649,100.82803400000557,825231,001,2023-07-30_17h41.49.946,magic_trick,2023.1.3,164.35582389174962,
11,0,11,0,,,,,,,,,,,,,,,,,,,101.1194599000155,102.42670090001775,825231,001,2023-07-30_17h41.49.946,magic_trick,2023.1.3,164.35582389174962,
12,0,12,0,,,,,,,,,,,,,,,,,,,102.7244733000407,,825231,001,2023-07-30_17h41.49.946,magic_trick,2023.1.3,164.35582389174962,
13,0,13,0,,,,,,,,,,,,,,,,,,,104.31973610003479,105.62587540003005,825231,001,2023-07-30_17h41.49.946,magic_trick,2023.1.3,164.35582389174962,
14,0,14,0,,,,,,,,,,,,,,,,,,,105.92327000002842,,825231,001,2023-07-30_17h41.49.946,magic_trick,2023.1.3,164.35582389174962,
15,0,15,0,,,,,,,,,,,,,,,,,,,107.5225819000043,,825231,001,2023-07-30_17h41.49.946,magic_trick,2023.1.3,164.35582389174962,
16,0,16,0,,,,,,,,,,,,,,,,,,,109.12408890004735,,825231,001,2023-07-30_17h41.49.946,magic_trick,2023.1.3,164.35582389174962,
17,0,17,0,,,,,,,,,,,,,,,,,,,110.72342320001917,,825231,001,2023-07-30_17h41.49.946,magic_trick,2023.1.3,164.35582389174962,
18,0,18,0,,,,,,,,,,,,,,,,,,,112.32118940004148,113.62859920004848,825231,001,2023-07-30_17h41.49.946,magic_trick,2023.1.3,164.35582389174962,
19,0,19,0,,,,,,,,,,,,,,,,,,,113.92012070002966,115.22344220004743,825231,001,2023-07-30_17h41.49.946,magic_trick,2023.1.3,164.35582389174962,
