trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp_2.started,image.started,image_2.started,image_3.started,image_4.started,image_5.started,image_6.started,image_7.started,image_8.started,image_9.started,key_resp_2.keys,key_resp_2.rt,image_10.started,image_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,11.794281400041655,11.794281400041655,space,1.5382200999883935,,,,,,,,,,,,,,,663696,001,2023-06-01_16h54.01.994,magic_trick,2022.2.5,82.41767297364764,
,,,,,,,,13.473652299959213,13.473652299959213,13.473652299959213,13.473652299959213,13.473652299959213,13.473652299959213,13.473652299959213,13.473652299959213,13.473652299959213,13.473652299959213,space,3.734316200017929,,,663696,001,2023-06-01_16h54.01.994,magic_trick,2022.2.5,82.41767297364764,
0,0,0,0,,,,,,,,,,,,,,,,,17.516443299944513,18.824448899948038,663696,001,2023-06-01_16h54.01.994,magic_trick,2022.2.5,82.41767297364764,
1,0,1,0,,,,,,,,,,,,,,,,,19.114915100042708,20.42399519996252,663696,001,2023-06-01_16h54.01.994,magic_trick,2022.2.5,82.41767297364764,
2,0,2,0,,,,,,,,,,,,,,,,,20.720924700028263,22.03547839995008,663696,001,2023-06-01_16h54.01.994,magic_trick,2022.2.5,82.41767297364764,
3,0,3,0,,,,,,,,,,,,,,,,,22.314164499985054,23.623681499972008,663696,001,2023-06-01_16h54.01.994,magic_trick,2022.2.5,82.41767297364764,
,,,,,,,,,,,,,,,,,,,,23.914303299970925,,,,,,,,
