trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,a_card.started,a_card.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.960946100007277,7.960946100007277,space,5.998873399978038,None,,,,,,,,,,,,,,,,,,,,,,,,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
,,,,,,,,,14.123921800026437,14.123921800026437,14.123921800026437,14.123921800026437,14.123921800026437,14.123921800026437,14.123921800026437,14.123921800026437,14.123921800026437,14.123921800026437,14.123921800026437,space,0.7966172000160441,None,,,,,,,,,,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
,,,,,,,,,,,,,,,,,,,,,,,14.92836580000585,14.92836580000585,space,1.05265060000238,None,,,,,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,15.989374200027669,15.989374200027669,17.483956500014756,,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.485189400002128,,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,21.48478170001181,,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,23.484531300025992,,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,25.49008010001853,,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,27.483580000000075,28.98891270000604,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,29.48605950002093,30.991731700021774,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,31.483708700019633,32.99056330000167,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,33.485965200001374,34.991385700006504,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,35.486302500008605,36.99060390001978,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,37.485020700027235,38.98963370002457,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,39.48444070000551,40.98880800002371,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,41.48481880000327,42.98820910000359,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,43.48326810001163,44.986938300018664,069011,001,2023-08-04_16h16.33.379,magic_trick,2023.1.3,165.89112562958232,
