trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp_2.started,image.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,13.162603399949148,13.162603399949148,space,0.25436279992572963,,,,,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
0,0,0,0,,,,,13.453493700013496,13.453493700013496,space,0.8309713000198826,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
1,0,1,0,,,,,14.319896599976346,14.319896599976346,space,0.3897673999890685,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
2,0,2,0,,,,,14.738008999964222,14.738008999964222,space,0.14470360008999705,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
3,0,3,0,,,,,14.907859400031157,14.907859400031157,space,0.15977019991260022,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
4,0,4,0,,,,,15.095464500016533,15.095464500016533,space,0.12726580002345145,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
5,0,5,0,,,,,15.252970600035042,15.252970600035042,space,0.14101969997864217,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
6,0,6,0,,,,,15.422493900055997,15.422493900055997,space,0.13824920007027686,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
7,0,7,0,,,,,15.592453100020066,15.592453100020066,space,0.12486159999389201,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
8,0,8,0,,,,,15.749974700040184,15.749974700040184,space,0.11831029993481934,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
9,0,9,0,,,,,15.902159900055267,15.902159900055267,space,0.12526879995130002,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
10,0,10,0,,,,,16.053190300008282,16.053190300008282,space,0.13432660000398755,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
11,0,11,0,,,,,16.223160800058395,16.223160800058395,space,0.1273104000138119,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
12,0,12,0,,,,,16.380133399972692,16.380133399972692,space,0.1323904999298975,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
13,0,13,0,,,,,16.533043600036763,16.533043600036763,space,0.15368170011788607,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
14,0,14,0,,,,,16.720470000058413,16.720470000058413,space,0.1251443000510335,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
15,0,15,0,,,,,16.871132000000216,16.871132000000216,space,0.14409730001352727,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
16,0,16,0,,,,,17.040469800005667,17.040469800005667,space,0.14467800001148134,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
17,0,17,0,,,,,17.210688499966636,17.210688499966636,space,0.1339382000733167,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
18,0,18,0,,,,,17.373866499983706,17.373866499983706,space,0.15074960002675653,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
19,0,19,0,,,,,17.550107900053263,17.550107900053263,space,0.130728300078772,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
20,0,20,0,,,,,17.70756530005019,17.70756530005019,space,0.1503633001120761,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
21,0,21,0,,,,,17.883452499983832,17.883452499983832,space,0.13745629996992648,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
22,0,22,0,,,,,18.052922699949704,18.052922699949704,space,0.1440894000697881,228373,001,2023-06-01_15h35.05.742,magic_trick,2022.2.5,82.5039622637488,
