trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,text_3.started,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text_4.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,polygon.started,polygon.stopped,text.started,text.stopped,a_card.started,a_card.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,10.054168700007722,10.054168700007722,space,1.1158728000009432,None,,,,,,,,,,,,,,,,,,,,,,,,,,597291,001,2023-08-06_16h00.23.623,magic_trick_rebuild,2023.1.3,60.011474183426465,
,,,,,,,,,11.361446299997624,11.361446299997624,11.361446299997624,11.361446299997624,11.361446299997624,11.361446299997624,11.361446299997624,11.361446299997624,11.361446299997624,11.361446299997624,11.361446299997624,space,1.0558700999827124,None,,,,,,,,,,,,597291,001,2023-08-06_16h00.23.623,magic_trick_rebuild,2023.1.3,60.011474183426465,
,,,,,,,,,,,,,,,,,,,,,,,12.444456199998967,12.444456199998967,space,0.645021700009238,None,,,,,,,597291,001,2023-08-06_16h00.23.623,magic_trick_rebuild,2023.1.3,60.011474183426465,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,13.594636900001206,15.59482779999962,15.59482779999962,16.111622700002044,16.111622700002044,,597291,001,2023-08-06_16h00.23.623,magic_trick_rebuild,2023.1.3,60.011474183426465,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,17.11132500000531,17.611355900007766,17.611355900007766,18.611352400039323,597291,001,2023-08-06_16h00.23.623,magic_trick_rebuild,2023.1.3,60.011474183426465,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.611352400039323,,19.111342200019863,,597291,001,2023-08-06_16h00.23.623,magic_trick_rebuild,2023.1.3,60.011474183426465,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,20.11137629998848,20.611381100025028,20.611381100025028,21.611378900008276,597291,001,2023-08-06_16h00.23.623,magic_trick_rebuild,2023.1.3,60.011474183426465,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,21.611378900008276,,22.111371200007852,,597291,001,2023-08-06_16h00.23.623,magic_trick_rebuild,2023.1.3,60.011474183426465,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,23.111414499988314,23.611421899986453,23.611421899986453,24.61144000000786,597291,001,2023-08-06_16h00.23.623,magic_trick_rebuild,2023.1.3,60.011474183426465,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,24.61144000000786,,25.111541700025555,,597291,001,2023-08-06_16h00.23.623,magic_trick_rebuild,2023.1.3,60.011474183426465,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,26.112226700002793,26.611433100013528,26.611433100013528,27.611444899986964,597291,001,2023-08-06_16h00.23.623,magic_trick_rebuild,2023.1.3,60.011474183426465,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,27.611444899986964,28.112403800012544,28.112403800012544,,597291,001,2023-08-06_16h00.23.623,magic_trick_rebuild,2023.1.3,60.011474183426465,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,29.12811580003472,,29.628136200015433,,597291,001,2023-08-06_16h00.23.623,magic_trick_rebuild,2023.1.3,60.011474183426465,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.628139000036754,,,,,,,,,,
