trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,a_card.started,a_card.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.03052650000609,7.03052650000609,space,0.4353916000109166,None,,,,,,,,,,,,,,,,254785,001,2023-08-03_16h44.21.754,magic_trick,2023.1.3,164.8418671812998,
,,,,,,,,,7.647043500008294,7.647043500008294,7.647043500008294,7.647043500008294,7.647043500008294,7.647043500008294,7.647043500008294,7.647043500008294,7.647043500008294,7.647043500008294,space,0.5790577999869129,None,,,254785,001,2023-08-03_16h44.21.754,magic_trick,2023.1.3,164.8418671812998,
0,0,0,0,,,,,,,,,,,,,,,,,,,8.536309800008894,,254785,001,2023-08-03_16h44.21.754,magic_trick,2023.1.3,164.8418671812998,
1,0,1,0,,,,,,,,,,,,,,,,,,,10.134391900006449,,254785,001,2023-08-03_16h44.21.754,magic_trick,2023.1.3,164.8418671812998,
2,0,2,0,,,,,,,,,,,,,,,,,,,11.734699900000123,,254785,001,2023-08-03_16h44.21.754,magic_trick,2023.1.3,164.8418671812998,
3,0,3,0,,,,,,,,,,,,,,,,,,,13.335731000013766,,254785,001,2023-08-03_16h44.21.754,magic_trick,2023.1.3,164.8418671812998,
4,0,4,0,,,,,,,,,,,,,,,,,,,14.933775100013008,,254785,001,2023-08-03_16h44.21.754,magic_trick,2023.1.3,164.8418671812998,
5,0,5,0,,,,,,,,,,,,,,,,,,,16.533146400004625,,254785,001,2023-08-03_16h44.21.754,magic_trick,2023.1.3,164.8418671812998,
6,0,6,0,,,,,,,,,,,,,,,,,,,18.13348630000837,,254785,001,2023-08-03_16h44.21.754,magic_trick,2023.1.3,164.8418671812998,
7,0,7,0,,,,,,,,,,,,,,,,,,,19.73429500000202,,254785,001,2023-08-03_16h44.21.754,magic_trick,2023.1.3,164.8418671812998,
8,0,8,0,,,,,,,,,,,,,,,,,,,21.333251800009748,22.64117200000328,254785,001,2023-08-03_16h44.21.754,magic_trick,2023.1.3,164.8418671812998,
9,0,9,0,,,,,,,,,,,,,,,,,,,22.933660900001996,,254785,001,2023-08-03_16h44.21.754,magic_trick,2023.1.3,164.8418671812998,
10,0,10,0,,,,,,,,,,,,,,,,,,,24.533216900003026,25.840654200001154,254785,001,2023-08-03_16h44.21.754,magic_trick,2023.1.3,164.8418671812998,
11,0,11,0,,,,,,,,,,,,,,,,,,,26.13294800001313,27.440283100004308,254785,001,2023-08-03_16h44.21.754,magic_trick,2023.1.3,164.8418671812998,
12,0,12,0,,,,,,,,,,,,,,,,,,,27.73284060000151,29.039336300003924,254785,001,2023-08-03_16h44.21.754,magic_trick,2023.1.3,164.8418671812998,
13,0,13,0,,,,,,,,,,,,,,,,,,,29.332259100003284,30.638557900005253,254785,001,2023-08-03_16h44.21.754,magic_trick,2023.1.3,164.8418671812998,
14,0,14,0,,,,,,,,,,,,,,,,,,,30.931112400008715,32.23919360000582,254785,001,2023-08-03_16h44.21.754,magic_trick,2023.1.3,164.8418671812998,
15,0,15,0,,,,,,,,,,,,,,,,,,,32.53072900000552,33.838088200005586,254785,001,2023-08-03_16h44.21.754,magic_trick,2023.1.3,164.8418671812998,
16,0,16,0,,,,,,,,,,,,,,,,,,,34.13581640001212,,254785,001,2023-08-03_16h44.21.754,magic_trick,2023.1.3,164.8418671812998,
17,0,17,0,,,,,,,,,,,,,,,,,,,35.73529840000265,,254785,001,2023-08-03_16h44.21.754,magic_trick,2023.1.3,164.8418671812998,
