trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,text_6.started,a_card.started,text_5.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,psychopyVersion,frameRate,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,80.47908610000741,80.97892250001314,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,81.97776110001723,82.48200109999743,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4784925999993,83.9781741000188,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,84.97703160002129,85.48168950001127,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,86.47859600000083,86.97824560001027,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,87.97729460001574,88.48221170000033,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,89.47917070001131,89.98170200001914,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,90.97499550000066,91.48165460000746,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,92.47798840000178,92.9789829000074,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,93.97464970001602,94.48108150000917,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
