trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,card_shown.started,card_shown.stopped,participant,session,date,expName,psychopyVersion,frameRate,
34,0,34,0,,,,,,,,,,,,,,,,,,,73.30004910000025,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
35,0,35,0,,,,,,,,,,,,,,,,,,,74.89922649999971,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
36,0,36,0,,,,,,,,,,,,,,,,,,,76.4989870999998,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
37,0,37,0,,,,,,,,,,,,,,,,,,,78.09655199999997,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
38,0,38,0,,,,,,,,,,,,,,,,,,,79.69787770000039,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
39,0,39,0,,,,,,,,,,,,,,,,,,,81.29676420000033,82.60557640000025,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
40,0,40,0,,,,,,,,,,,,,,,,,,,82.89745550000043,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
41,0,41,0,,,,,,,,,,,,,,,,,,,84.49704480000037,85.80463109999982,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
42,0,42,0,,,,,,,,,,,,,,,,,,,86.09618310000042,87.39938400000028,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
43,0,43,0,,,,,,,,,,,,,,,,,,,87.6970908000003,89.00530549999985,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
44,0,44,0,,,,,,,,,,,,,,,,,,,89.29867329999979,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
45,0,45,0,,,,,,,,,,,,,,,,,,,90.89769270000033,92.20532920000005,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
46,0,46,0,,,,,,,,,,,,,,,,,,,92.49735020000026,93.8052187000003,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
47,0,47,0,,,,,,,,,,,,,,,,,,,94.0968568999997,95.40488639999967,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
48,0,48,0,,,,,,,,,,,,,,,,,,,95.69651260000046,97.00386040000012,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
49,0,49,0,,,,,,,,,,,,,,,,,,,97.29529579999962,98.59960539999975,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
