trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp_2.started,image.started,image_2.started,image_3.started,image_4.started,image_5.started,image_6.started,image_7.started,image_8.started,image_9.started,key_resp_2.keys,key_resp_2.rt,image_10.started,image_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,11.959549300023355,11.959549300023355,space,1.230305000091903,,,,,,,,,,,,,,,099604,001,2023-06-01_16h55.55.678,magic_trick,2022.2.5,84.60415828920713,
,,,,,,,,13.330225399928167,13.330225399928167,13.330225399928167,13.330225399928167,13.330225399928167,13.330225399928167,13.330225399928167,13.330225399928167,13.330225399928167,13.330225399928167,space,7.414416200015694,,,099604,001,2023-06-01_16h55.55.678,magic_trick,2022.2.5,84.60415828920713,
0,0,0,0,,,,,,,,,,,,,,,,,21.04498819995206,22.353252699947916,099604,001,2023-06-01_16h55.55.678,magic_trick,2022.2.5,84.60415828920713,
1,0,1,0,,,,,,,,,,,,,,,,,22.643842999939807,23.95303590002004,099604,001,2023-06-01_16h55.55.678,magic_trick,2022.2.5,84.60415828920713,
2,0,2,0,,,,,,,,,,,,,,,,,24.244554999982938,25.55307169992011,099604,001,2023-06-01_16h55.55.678,magic_trick,2022.2.5,84.60415828920713,
3,0,3,0,,,,,,,,,,,,,,,,,25.844193400000222,27.152976299985312,099604,001,2023-06-01_16h55.55.678,magic_trick,2022.2.5,84.60415828920713,
4,0,4,0,,,,,,,,,,,,,,,,,27.449185699922964,28.75889009993989,099604,001,2023-06-01_16h55.55.678,magic_trick,2022.2.5,84.60415828920713,
5,0,5,0,,,,,,,,,,,,,,,,,29.044034100021236,30.35197059996426,099604,001,2023-06-01_16h55.55.678,magic_trick,2022.2.5,84.60415828920713,
6,0,6,0,,,,,,,,,,,,,,,,,30.6486886999337,31.959039799985476,099604,001,2023-06-01_16h55.55.678,magic_trick,2022.2.5,84.60415828920713,
7,0,7,0,,,,,,,,,,,,,,,,,32.24865179997869,33.557661499944516,099604,001,2023-06-01_16h55.55.678,magic_trick,2022.2.5,84.60415828920713,
8,0,8,0,,,,,,,,,,,,,,,,,33.84926709998399,35.15945619996637,099604,001,2023-06-01_16h55.55.678,magic_trick,2022.2.5,84.60415828920713,
9,0,9,0,,,,,,,,,,,,,,,,,35.44846869993489,36.770073399995454,099604,001,2023-06-01_16h55.55.678,magic_trick,2022.2.5,84.60415828920713,
10,0,10,0,,,,,,,,,,,,,,,,,37.0534548999276,38.37530199997127,099604,001,2023-06-01_16h55.55.678,magic_trick,2022.2.5,84.60415828920713,
11,0,11,0,,,,,,,,,,,,,,,,,38.65338369994424,39.9629143999191,099604,001,2023-06-01_16h55.55.678,magic_trick,2022.2.5,84.60415828920713,
12,0,12,0,,,,,,,,,,,,,,,,,40.24846969998907,41.55704460002016,099604,001,2023-06-01_16h55.55.678,magic_trick,2022.2.5,84.60415828920713,
13,0,13,0,,,,,,,,,,,,,,,,,41.85307459998876,,099604,001,2023-06-01_16h55.55.678,magic_trick,2022.2.5,84.60415828920713,
14,0,14,0,,,,,,,,,,,,,,,,,43.44787549995817,44.76246430003084,099604,001,2023-06-01_16h55.55.678,magic_trick,2022.2.5,84.60415828920713,
15,0,15,0,,,,,,,,,,,,,,,,,45.05317309999373,46.36284349998459,099604,001,2023-06-01_16h55.55.678,magic_trick,2022.2.5,84.60415828920713,
16,0,16,0,,,,,,,,,,,,,,,,,46.65279590000864,47.9626090999227,099604,001,2023-06-01_16h55.55.678,magic_trick,2022.2.5,84.60415828920713,
17,0,17,0,,,,,,,,,,,,,,,,,48.25267019995954,49.5621687999228,099604,001,2023-06-01_16h55.55.678,magic_trick,2022.2.5,84.60415828920713,
18,0,18,0,,,,,,,,,,,,,,,,,49.852802100009285,51.16780369996559,099604,001,2023-06-01_16h55.55.678,magic_trick,2022.2.5,84.60415828920713,
