trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp_2.started,image.started,image_2.started,image_3.started,image_4.started,image_5.started,image_6.started,image_7.started,image_8.started,image_9.started,key_resp_2.keys,key_resp_2.rt,image_10.started,image_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
35,0,35,0,,,,,,,,,,,,,,,,,81.99056979990564,83.3067075998988,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
36,0,36,0,,,,,,,,,,,,,,,,,83.59053899999708,,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
37,0,37,0,,,,,,,,,,,,,,,,,85.1897650999017,86.50554209994152,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
38,0,38,0,,,,,,,,,,,,,,,,,86.7898647999391,88.10433949995786,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
39,0,39,0,,,,,,,,,,,,,,,,,88.38978619989939,89.70565149979666,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
40,0,40,0,,,,,,,,,,,,,,,,,89.98919509979896,91.3042452998925,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
41,0,41,0,,,,,,,,,,,,,,,,,91.58882929990068,92.90457999985665,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
42,0,42,0,,,,,,,,,,,,,,,,,93.18892019987106,94.50425329990685,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
43,0,43,0,,,,,,,,,,,,,,,,,94.7889291997999,96.10352919995785,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
44,0,44,0,,,,,,,,,,,,,,,,,96.3884203999769,97.70385940000415,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
45,0,45,0,,,,,,,,,,,,,,,,,97.98837109981105,99.30375339998864,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
46,0,46,0,,,,,,,,,,,,,,,,,99.59529339987785,,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
47,0,47,0,,,,,,,,,,,,,,,,,101.18842699984089,102.50323509983718,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
48,0,48,0,,,,,,,,,,,,,,,,,102.78766879998147,104.1031129998155,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
49,0,49,0,,,,,,,,,,,,,,,,,104.38786959997378,,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
