trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,card_shown.started,card_shown.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,8.8534970000037,8.8534970000037,space,0.8854137000162154,None,,,,,,,,,,,,,,,,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
,,,,,,,,,9.891559800016694,9.891559800016694,9.891559800016694,9.891559800016694,9.891559800016694,9.891559800016694,9.891559800016694,9.891559800016694,9.891559800016694,9.891559800016694,space,0.679558600008022,None,,,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
0,0,0,0,,,,,,,,,,,,,,,,,,,10.877655000018422,12.1804153000121,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
1,0,1,0,,,,,,,,,,,,,,,,,,,12.481574899982661,13.785157100006472,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
2,0,2,0,,,,,,,,,,,,,,,,,,,14.076407500018831,15.383078899991233,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
3,0,3,0,,,,,,,,,,,,,,,,,,,15.680232000013348,,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
4,0,4,0,,,,,,,,,,,,,,,,,,,17.27974660001928,18.58432379999431,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
5,0,5,0,,,,,,,,,,,,,,,,,,,18.878854400012642,20.18472910003038,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
6,0,6,0,,,,,,,,,,,,,,,,,,,20.479058400029317,21.78565760003403,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
7,0,7,0,,,,,,,,,,,,,,,,,,,22.078906500013545,23.385263000032865,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
8,0,8,0,,,,,,,,,,,,,,,,,,,23.678762199997436,24.985161199991126,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
9,0,9,0,,,,,,,,,,,,,,,,,,,25.278598900011275,26.585079599986784,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
10,0,10,0,,,,,,,,,,,,,,,,,,,26.87844010000117,28.185752400022466,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
11,0,11,0,,,,,,,,,,,,,,,,,,,28.478382900008,29.78392640000675,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
12,0,12,0,,,,,,,,,,,,,,,,,,,30.07811090000905,31.3836900999886,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
13,0,13,0,,,,,,,,,,,,,,,,,,,31.67801239999244,32.983858400024474,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
14,0,14,0,,,,,,,,,,,,,,,,,,,33.27784029999748,34.58419500000309,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
15,0,15,0,,,,,,,,,,,,,,,,,,,34.87773420003941,36.18549050000729,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
16,0,16,0,,,,,,,,,,,,,,,,,,,36.47751840000274,37.783720700012054,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
17,0,17,0,,,,,,,,,,,,,,,,,,,38.07734530000016,39.38371470000129,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
18,0,18,0,,,,,,,,,,,,,,,,,,,39.6772428000113,40.98439779999899,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
19,0,19,0,,,,,,,,,,,,,,,,,,,41.27704020001693,42.584187100001145,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
20,0,20,0,,,,,,,,,,,,,,,,,,,42.87687330000335,44.18359999998938,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
21,0,21,0,,,,,,,,,,,,,,,,,,,44.47671990003437,45.78323450003518,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
22,0,22,0,,,,,,,,,,,,,,,,,,,46.07661079999525,47.38314560003346,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
23,0,23,0,,,,,,,,,,,,,,,,,,,47.6765374999959,48.98275620001368,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
24,0,24,0,,,,,,,,,,,,,,,,,,,49.28224620001856,,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
25,0,25,0,,,,,,,,,,,,,,,,,,,50.88213400001405,,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
26,0,26,0,,,,,,,,,,,,,,,,,,,52.48194780002814,,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
27,0,27,0,,,,,,,,,,,,,,,,,,,54.081784300040454,,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
28,0,28,0,,,,,,,,,,,,,,,,,,,55.68166000000201,,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
29,0,29,0,,,,,,,,,,,,,,,,,,,57.28153159999056,,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
30,0,30,0,,,,,,,,,,,,,,,,,,,58.88132939999923,,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
31,0,31,0,,,,,,,,,,,,,,,,,,,60.48117410001578,,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
32,0,32,0,,,,,,,,,,,,,,,,,,,62.08100410003681,,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
33,0,33,0,,,,,,,,,,,,,,,,,,,63.68087139999261,,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
34,0,34,0,,,,,,,,,,,,,,,,,,,65.28070310002659,,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
35,0,35,0,,,,,,,,,,,,,,,,,,,66.88055400003213,,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
36,0,36,0,,,,,,,,,,,,,,,,,,,68.48039119999157,69.78670950001106,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
37,0,37,0,,,,,,,,,,,,,,,,,,,70.08022980001988,,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
38,0,38,0,,,,,,,,,,,,,,,,,,,71.68006440001773,72.98661459999857,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
39,0,39,0,,,,,,,,,,,,,,,,,,,73.2798815999995,74.58632470003795,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
40,0,40,0,,,,,,,,,,,,,,,,,,,74.87974740000209,76.18543740001041,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
41,0,41,0,,,,,,,,,,,,,,,,,,,76.47955410002032,77.78602850000607,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
42,0,42,0,,,,,,,,,,,,,,,,,,,78.07962450000923,79.38620300003095,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
43,0,43,0,,,,,,,,,,,,,,,,,,,79.67950299999211,80.98522800003411,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
44,0,44,0,,,,,,,,,,,,,,,,,,,81.27913550002268,82.58622880000621,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
45,0,45,0,,,,,,,,,,,,,,,,,,,82.87913130002562,84.18451540003298,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
46,0,46,0,,,,,,,,,,,,,,,,,,,84.47843399998965,85.7862804000033,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
47,0,47,0,,,,,,,,,,,,,,,,,,,86.07825640001101,87.38513640000019,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
48,0,48,0,,,,,,,,,,,,,,,,,,,87.67854090000037,88.98597079998581,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
49,0,49,0,,,,,,,,,,,,,,,,,,,89.27837280003587,90.58139499998651,569702,001,2023-07-30_10h43.23.769,magic_trick,2023.1.3,164.9922701733309,
