trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,card_shown.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
32,0,32,0,,,,,,,,,,,,,,,,,,,89.32532070000889,89.83451499999501,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
33,0,33,0,,,,,,,,,,,,,,,,,,,90.82312469999306,91.33032180002192,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
34,0,34,0,,,,,,,,,,,,,,,,,,,92.32514159998391,92.83250900002895,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
35,0,35,0,,,,,,,,,,,,,,,,,,,93.82861560001038,94.33082650002325,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
36,0,36,0,,,,,,,,,,,,,,,,,,,95.325556900003,95.82731220003916,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
37,0,37,0,,,,,,,,,,,,,,,,,,,96.82836739998311,97.33057829999598,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
38,0,38,0,,,,,,,,,,,,,,,,,,,98.3253354000044,98.82716470002197,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
39,0,39,0,,,,,,,,,,,,,,,,,,,99.82787099998677,100.32771809998667,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
40,0,40,0,,,,,,,,,,,,,,,,,,,101.324015900027,101.83199239999522,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
41,0,41,0,,,,,,,,,,,,,,,,,,,102.8278536000289,103.32784799998626,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
42,0,42,0,,,,,,,,,,,,,,,,,,,104.32258259999799,104.83044280001195,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
43,0,43,0,,,,,,,,,,,,,,,,,,,105.82518729998264,106.33276710001519,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
44,0,44,0,,,,,,,,,,,,,,,,,,,107.32755109999562,107.82967300002929,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
45,0,45,0,,,,,,,,,,,,,,,,,,,108.82441830000607,109.32738580001751,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
46,0,46,0,,,,,,,,,,,,,,,,,,,110.32869009999558,110.82885990000796,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
47,0,47,0,,,,,,,,,,,,,,,,,,,111.82517820002977,112.32735069998307,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
48,0,48,0,,,,,,,,,,,,,,,,,,,113.32833980000578,113.83075570000801,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
49,0,49,0,,,,,,,,,,,,,,,,,,,114.82551019999664,115.32723200001055,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
