trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,card_shown.started,card_shown.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,9.576037499995437,9.576037499995437,space,37.91440540004987,None,,,,,,,,,,,,,,,,514006,001,2023-07-30_16h12.51.595,magic_trick,2023.1.3,163.94598304409445,
,,,,,,,,,47.66381250001723,47.66381250001723,47.66381250001723,47.66381250001723,47.66381250001723,47.66381250001723,47.66381250001723,47.66381250001723,47.66381250001723,47.66381250001723,space,19.25896870001452,None,,,514006,001,2023-07-30_16h12.51.595,magic_trick,2023.1.3,163.94598304409445,
0,0,0,0,,,,,,,,,,,,,,,,,,,67.2298729000031,,514006,001,2023-07-30_16h12.51.595,magic_trick,2023.1.3,163.94598304409445,
1,0,1,0,,,,,,,,,,,,,,,,,,,68.82610790000763,70.13104690000182,514006,001,2023-07-30_16h12.51.595,magic_trick,2023.1.3,163.94598304409445,
2,0,2,0,,,,,,,,,,,,,,,,,,,70.42817280004965,,514006,001,2023-07-30_16h12.51.595,magic_trick,2023.1.3,163.94598304409445,
3,0,3,0,,,,,,,,,,,,,,,,,,,72.02687560004415,73.33256790001178,514006,001,2023-07-30_16h12.51.595,magic_trick,2023.1.3,163.94598304409445,
4,0,4,0,,,,,,,,,,,,,,,,,,,73.62443250004435,74.93254990002606,514006,001,2023-07-30_16h12.51.595,magic_trick,2023.1.3,163.94598304409445,
5,0,5,0,,,,,,,,,,,,,,,,,,,75.22362170001725,76.53147909999825,514006,001,2023-07-30_16h12.51.595,magic_trick,2023.1.3,163.94598304409445,
6,0,6,0,,,,,,,,,,,,,,,,,,,76.82904280000366,,514006,001,2023-07-30_16h12.51.595,magic_trick,2023.1.3,163.94598304409445,
7,0,7,0,,,,,,,,,,,,,,,,,,,78.42765230004443,79.72995710000396,514006,001,2023-07-30_16h12.51.595,magic_trick,2023.1.3,163.94598304409445,
8,0,8,0,,,,,,,,,,,,,,,,,,,80.02754360000836,,514006,001,2023-07-30_16h12.51.595,magic_trick,2023.1.3,163.94598304409445,
9,0,9,0,,,,,,,,,,,,,,,,,,,81.62951120000798,,514006,001,2023-07-30_16h12.51.595,magic_trick,2023.1.3,163.94598304409445,
10,0,10,0,,,,,,,,,,,,,,,,,,,83.22598390001804,84.53169720002916,514006,001,2023-07-30_16h12.51.595,magic_trick,2023.1.3,163.94598304409445,
11,0,11,0,,,,,,,,,,,,,,,,,,,84.82909640000435,86.13150390004739,514006,001,2023-07-30_16h12.51.595,magic_trick,2023.1.3,163.94598304409445,
12,0,12,0,,,,,,,,,,,,,,,,,,,86.4230742000509,87.73122960003093,514006,001,2023-07-30_16h12.51.595,magic_trick,2023.1.3,163.94598304409445,
