trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,card_shown.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.4588148999609984,7.4588148999609984,space,27.29567490000045,None,,,,,,,,,,,,,,,,,530088,001,2023-08-06_14h48.24.001,magic_trick,2023.1.3,164.92587409665268,
,,,,,,,,,34.92419469996821,34.92419469996821,34.92419469996821,34.92419469996821,34.92419469996821,34.92419469996821,34.92419469996821,34.92419469996821,34.92419469996821,34.92419469996821,space,18.390431199979503,None,,,,530088,001,2023-08-06_14h48.24.001,magic_trick,2023.1.3,164.92587409665268,
0,0,0,0,,,,,,,,,,,,,,,,,,,53.32313879998401,53.84436980000464,,530088,001,2023-08-06_14h48.24.001,magic_trick,2023.1.3,164.92587409665268,
1,0,1,0,,,,,,,,,,,,,,,,,,,54.82710870000301,55.329364700010046,,530088,001,2023-08-06_14h48.24.001,magic_trick,2023.1.3,164.92587409665268,
2,0,2,0,,,,,,,,,,,,,,,,,,,56.32662649999838,56.83249349996913,,530088,001,2023-08-06_14h48.24.001,magic_trick,2023.1.3,164.92587409665268,
3,0,3,0,,,,,,,,,,,,,,,,,,,57.8301339999889,58.32943489996251,,530088,001,2023-08-06_14h48.24.001,magic_trick,2023.1.3,164.92587409665268,
4,0,4,0,,,,,,,,,,,,,,,,,,,59.32441749999998,59.83249519998208,,530088,001,2023-08-06_14h48.24.001,magic_trick,2023.1.3,164.92587409665268,
5,0,5,0,,,,,,,,,,,,,,,,,,,60.82940459996462,61.32858799997484,,530088,001,2023-08-06_14h48.24.001,magic_trick,2023.1.3,164.92587409665268,
6,0,6,0,,,,,,,,,,,,,,,,,,,62.32902269996703,62.83123609999893,,530088,001,2023-08-06_14h48.24.001,magic_trick,2023.1.3,164.92587409665268,
7,0,7,0,,,,,,,,,,,,,,,,,,,63.82618209999055,64.33357399998931,,530088,001,2023-08-06_14h48.24.001,magic_trick,2023.1.3,164.92587409665268,
