trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,a_card.started,a_card.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.423956899991026,7.423956899991026,space,2.316217699990375,None,,,,,,,,,,,,,,,,,,,,,,,,010317,001,2023-08-04_14h59.36.177,magic_trick,2023.1.3,163.54406526270097,
,,,,,,,,,9.892091399990022,9.892091399990022,9.892091399990022,9.892091399990022,9.892091399990022,9.892091399990022,9.892091399990022,9.892091399990022,9.892091399990022,9.892091399990022,9.892091399990022,space,0.42422919999808073,None,,,,,,,,,,010317,001,2023-08-04_14h59.36.177,magic_trick,2023.1.3,163.54406526270097,
,,,,,,,,,,,,,,,,,,,,,,,10.326805999997305,10.326805999997305,space,0.8056791000126395,None,,,,,010317,001,2023-08-04_14h59.36.177,magic_trick,2023.1.3,163.54406526270097,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,11.139886399992974,11.139886399992974,12.633660399995279,14.142205999989528,010317,001,2023-08-04_14h59.36.177,magic_trick,2023.1.3,163.54406526270097,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.638773000013316,,010317,001,2023-08-04_14h59.36.177,magic_trick,2023.1.3,163.54406526270097,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.63808530001552,,,,,,,,
