trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,card_shown.started,card_shown.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.40771709999899,7.40771709999899,space,8.889366299998073,None,,,,,,,,,,,,,,,,298692,001,2023-08-03_00h20.01.913,magic_trick,2023.1.3,164.80845138418124,
,,,,,,,,,16.46267810000063,16.46267810000063,16.46267810000063,16.46267810000063,16.46267810000063,16.46267810000063,16.46267810000063,16.46267810000063,16.46267810000063,16.46267810000063,space,3.9706016999989515,None,,,298692,001,2023-08-03_00h20.01.913,magic_trick,2023.1.3,164.80845138418124,
0,0,0,0,,,,,,,,,,,,,,,,,,,20.736802600000374,22.046152800001437,298692,001,2023-08-03_00h20.01.913,magic_trick,2023.1.3,164.80845138418124,
1,0,1,0,,,,,,,,,,,,,,,,,,,22.337735900000553,23.644919700000173,298692,001,2023-08-03_00h20.01.913,magic_trick,2023.1.3,164.80845138418124,
2,0,2,0,,,,,,,,,,,,,,,,,,,23.942698899998504,,298692,001,2023-08-03_00h20.01.913,magic_trick,2023.1.3,164.80845138418124,
3,0,3,0,,,,,,,,,,,,,,,,,,,25.541122700000415,,298692,001,2023-08-03_00h20.01.913,magic_trick,2023.1.3,164.80845138418124,
4,0,4,0,,,,,,,,,,,,,,,,,,,27.139774100000068,,298692,001,2023-08-03_00h20.01.913,magic_trick,2023.1.3,164.80845138418124,
5,0,5,0,,,,,,,,,,,,,,,,,,,28.73886489999859,30.046645099999296,298692,001,2023-08-03_00h20.01.913,magic_trick,2023.1.3,164.80845138418124,
6,0,6,0,,,,,,,,,,,,,,,,,,,30.33861099999922,31.646463400000357,298692,001,2023-08-03_00h20.01.913,magic_trick,2023.1.3,164.80845138418124,
7,0,7,0,,,,,,,,,,,,,,,,,,,31.938171000001603,33.246553799999674,298692,001,2023-08-03_00h20.01.913,magic_trick,2023.1.3,164.80845138418124,
8,0,8,0,,,,,,,,,,,,,,,,,,,33.540474900000845,34.84637940000175,298692,001,2023-08-03_00h20.01.913,magic_trick,2023.1.3,164.80845138418124,
9,0,9,0,,,,,,,,,,,,,,,,,,,35.1380379000002,36.44674099999975,298692,001,2023-08-03_00h20.01.913,magic_trick,2023.1.3,164.80845138418124,
10,0,10,0,,,,,,,,,,,,,,,,,,,36.73872599999959,38.04663250000158,298692,001,2023-08-03_00h20.01.913,magic_trick,2023.1.3,164.80845138418124,
11,0,11,0,,,,,,,,,,,,,,,,,,,38.33858419999888,39.64632290000009,298692,001,2023-08-03_00h20.01.913,magic_trick,2023.1.3,164.80845138418124,
