trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,text_3.started,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text_4.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,polygon.started,polygon.stopped,text.started,a_card.started,participant,session,date,expName,psychopyVersion,frameRate,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,140.7402529999963,141.2382771000266,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,142.23657379997894,142.74110610003117,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,143.7395053000073,144.23904780001612,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,145.2365791000193,145.74061889998848,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,146.73925029998645,147.23893059999682,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,148.23623049998423,148.74364020000212,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,149.73910190002061,150.23846920003416,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,151.23582629999146,151.7427616000059,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,152.73905700002797,153.2488755999948,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,154.23613390000537,154.74166160001187,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,155.7384065000224,156.24321089999285,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,157.24131190002663,157.73983350000344,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,158.73832380003296,159.2437677999842,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,160.24063210003078,160.7395347999991,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,161.7377228999976,162.24513350002235,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,163.2406160000246,163.74132460000692,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,164.7376730000251,165.24306960002286,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,166.23427810001886,166.74075990001438,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,167.73747110000113,168.24270559998695,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,169.2404348999844,169.74000380001962,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,170.7366734999814,171.24271640001098,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,172.23971990001155,172.74065370002063,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,173.73666900000535,174.24273870000616,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,175.23942400002852,175.73947119998047,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,176.73627130000386,177.24336269998457,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,178.23916180001106,178.73898199998075,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,179.7360936999903,180.24201789998915,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,181.23894660000224,181.74355130002368,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,182.7416949000326,183.24120220000623,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,184.2385915000341,184.74422410002444,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,185.7414794000215,186.24108810001053,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,187.2384703999851,187.7386858999962,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,188.74137300002621,189.24142700002994,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,190.23861619998934,190.74599040002795,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,191.7344079000177,192.24159029999282,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,193.23812739999266,193.74461160000646,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,194.74089070002083,195.24141690001125,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
63,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,196.23777549999068,196.7439859000151,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
64,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,197.7403260000283,198.24075380002614,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
65,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,199.2370826000115,199.7435484000016,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
66,0,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,200.7403772000107,201.2393965999945,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
67,0,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.23656709998613,202.7457472999813,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
68,0,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,203.73954179999419,204.24018840002827,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
69,0,69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,205.23648590000812,205.7471672000247,432741,001,2023-08-06_22h59.15.429,magic_trick_rebuild,2023.1.3,163.20615215955954,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.7796022000257,207.24171650002245,,,,,,,
