trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp_2.started,image.started,image_2.started,image_3.started,image_4.started,image_5.started,image_6.started,image_7.started,image_8.started,image_9.started,key_resp_2.keys,key_resp_2.rt,image_10.started,image_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.782186900032684,7.782186900032684,space,1.3166360999457538,,,,,,,,,,,,,,,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
,,,,,,,,9.171444899984635,9.171444899984635,9.171444899984635,9.171444899984635,9.171444899984635,9.171444899984635,9.171444899984635,9.171444899984635,9.171444899984635,9.171444899984635,space,18.177652499987744,,,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
0,0,0,0,,,,,,,,,,,,,,,,,27.651799599989317,28.960934399976395,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
1,0,1,0,,,,,,,,,,,,,,,,,29.251747200032696,30.56120550003834,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
2,0,2,0,,,,,,,,,,,,,,,,,30.8513611999806,32.16659969999455,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
3,0,3,0,,,,,,,,,,,,,,,,,32.451217900030315,33.76054449996445,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
4,0,4,0,,,,,,,,,,,,,,,,,34.05100149998907,35.36010489996988,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
5,0,5,0,,,,,,,,,,,,,,,,,35.65090070001315,36.959981100051664,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
6,0,6,0,,,,,,,,,,,,,,,,,37.2506568999961,38.56031249999069,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
7,0,7,0,,,,,,,,,,,,,,,,,38.850499500054866,40.16030690004118,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
8,0,8,0,,,,,,,,,,,,,,,,,40.45045130001381,41.75954120000824,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
9,0,9,0,,,,,,,,,,,,,,,,,42.050122900051065,43.35978589998558,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
10,0,10,0,,,,,,,,,,,,,,,,,43.6498755000066,44.959067299962044,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
11,0,11,0,,,,,,,,,,,,,,,,,45.249728000024334,46.55920330004301,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
12,0,12,0,,,,,,,,,,,,,,,,,46.84955240006093,48.15888999996241,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
13,0,13,0,,,,,,,,,,,,,,,,,48.44936810003128,49.75853009999264,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
14,0,14,0,,,,,,,,,,,,,,,,,50.04918550001457,51.35855050000828,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
15,0,15,0,,,,,,,,,,,,,,,,,51.649004000006244,52.95840090001002,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
16,0,16,0,,,,,,,,,,,,,,,,,53.24882800003979,54.55833170004189,658226,001,2023-06-02_08h44.06.354,magic_trick,2022.2.5,164.76907624189835,
