trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,card_shown.started,card_shown.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.328242300020065,7.328242300020065,space,75.274128799967,None,,,,,,,,,,,,,,,,597975,001,2023-07-30_20h22.45.273,magic_trick,2023.1.3,164.72076540872717,
,,,,,,,,,82.7558493000106,82.7558493000106,82.7558493000106,82.7558493000106,82.7558493000106,82.7558493000106,82.7558493000106,82.7558493000106,82.7558493000106,82.7558493000106,space,2.582167799992021,None,,,597975,001,2023-07-30_20h22.45.273,magic_trick,2023.1.3,164.72076540872717,
0,0,0,0,,,,,,,,,,,,,,,,,,,85.64484900003299,,597975,001,2023-07-30_20h22.45.273,magic_trick,2023.1.3,164.72076540872717,
1,0,1,0,,,,,,,,,,,,,,,,,,,87.24486650002655,,597975,001,2023-07-30_20h22.45.273,magic_trick,2023.1.3,164.72076540872717,
2,0,2,0,,,,,,,,,,,,,,,,,,,88.84464980004122,,597975,001,2023-07-30_20h22.45.273,magic_trick,2023.1.3,164.72076540872717,
3,0,3,0,,,,,,,,,,,,,,,,,,,90.44367930002045,91.74714700004552,597975,001,2023-07-30_20h22.45.273,magic_trick,2023.1.3,164.72076540872717,
4,0,4,0,,,,,,,,,,,,,,,,,,,92.04588220000733,,597975,001,2023-07-30_20h22.45.273,magic_trick,2023.1.3,164.72076540872717,
5,0,5,0,,,,,,,,,,,,,,,,,,,93.64336950000143,94.94579300004989,597975,001,2023-07-30_20h22.45.273,magic_trick,2023.1.3,164.72076540872717,
6,0,6,0,,,,,,,,,,,,,,,,,,,95.2435215000296,,597975,001,2023-07-30_20h22.45.273,magic_trick,2023.1.3,164.72076540872717,
7,0,7,0,,,,,,,,,,,,,,,,,,,96.84204650000902,98.14963890000945,597975,001,2023-07-30_20h22.45.273,magic_trick,2023.1.3,164.72076540872717,
8,0,8,0,,,,,,,,,,,,,,,,,,,98.44133930001408,99.74751549999928,597975,001,2023-07-30_20h22.45.273,magic_trick,2023.1.3,164.72076540872717,
9,0,9,0,,,,,,,,,,,,,,,,,,,100.0448132000165,,597975,001,2023-07-30_20h22.45.273,magic_trick,2023.1.3,164.72076540872717,
