trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp_2.started,image.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,13.398650899995118,13.398650899995118,space,0.3477423000149429,,,,,929457,001,2023-06-01_15h32.00.765,magic_trick,2022.2.5,82.59807283536021,
0,0,0,0,,,,,13.780062899924815,13.780062899924815,space,1.499859300092794,929457,001,2023-06-01_15h32.00.765,magic_trick,2022.2.5,82.59807283536021,
1,0,1,0,,,,,15.306649199919775,15.306649199919775,space,1.8741447000065818,929457,001,2023-06-01_15h32.00.765,magic_trick,2022.2.5,82.59807283536021,
2,0,2,0,,,,,17.209957399987616,17.209957399987616,space,1.0696138999192044,929457,001,2023-06-01_15h32.00.765,magic_trick,2022.2.5,82.59807283536021,
3,0,3,0,,,,,18.306894299923442,18.306894299923442,space,0.8520225000102073,929457,001,2023-06-01_15h32.00.765,magic_trick,2022.2.5,82.59807283536021,
4,0,4,0,,,,,19.185504299937747,19.185504299937747,space,0.6492491000099108,929457,001,2023-06-01_15h32.00.765,magic_trick,2022.2.5,82.59807283536021,
5,0,5,0,,,,,19.87109829997644,19.87109829997644,space,0.49099720001686364,929457,001,2023-06-01_15h32.00.765,magic_trick,2022.2.5,82.59807283536021,
6,0,6,0,,,,,20.391987000009976,20.391987000009976,space,0.4375574999721721,929457,001,2023-06-01_15h32.00.765,magic_trick,2022.2.5,82.59807283536021,
7,0,7,0,,,,,20.86447849997785,20.86447849997785,space,0.44352319999597967,929457,001,2023-06-01_15h32.00.765,magic_trick,2022.2.5,82.59807283536021,
8,0,8,0,,,,,21.336701299995184,21.336701299995184,space,0.4498824999900535,929457,001,2023-06-01_15h32.00.765,magic_trick,2022.2.5,82.59807283536021,
9,0,9,0,,,,,21.81544119992759,21.81544119992759,space,0.4627834000857547,929457,001,2023-06-01_15h32.00.765,magic_trick,2022.2.5,82.59807283536021,
