trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,text_3.started,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text_4.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,polygon.started,polygon.stopped,text.started,text.stopped,card_shown.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.592542699945625,7.592542699945625,space,0.7665969000081532,None,,,,,,,,,,,,,,,,,,,,,,,,,008642,001,2023-08-06_15h42.05.400,magic_trick,2023.1.3,59.984368066382295,
,,,,,,,,,8.564979399961885,8.564979399961885,8.564979399961885,8.564979399961885,8.564979399961885,8.564979399961885,8.564979399961885,8.564979399961885,8.564979399961885,8.564979399961885,8.564979399961885,space,0.9064180999994278,None,,,,,,,,,,,008642,001,2023-08-06_15h42.05.400,magic_trick,2023.1.3,59.984368066382295,
,,,,,,,,,,,,,,,,,,,,,,,9.497967099945527,9.497967099945527,space,0.7976098000071943,None,,,,,,008642,001,2023-08-06_15h42.05.400,magic_trick,2023.1.3,59.984368066382295,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,10.314516599988565,12.314707799989264,12.314707799989264,12.831627299950924,12.831627299950924,008642,001,2023-08-06_15h42.05.400,magic_trick,2023.1.3,59.984368066382295,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.831325299979653,,14.331372299988288,008642,001,2023-08-06_15h42.05.400,magic_trick,2023.1.3,59.984368066382295,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.331419199996162,,15.831181399989873,,,,,,,
