trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,card_shown.started,card_shown.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,8.073601600015536,8.073601600015536,space,15.477156499982812,None,,,,,,,,,,,,,,,,704870,001,2023-07-30_12h46.04.757,magic_trick,2023.1.3,163.0119388499949,
,,,,,,,,,23.71945279999636,23.71945279999636,23.71945279999636,23.71945279999636,23.71945279999636,23.71945279999636,23.71945279999636,23.71945279999636,23.71945279999636,23.71945279999636,space,6.7269256000290625,None,,,704870,001,2023-07-30_12h46.04.757,magic_trick,2023.1.3,163.0119388499949,
0,0,0,0,,,,,,,,,,,,,,,,,,,30.75243460002821,,704870,001,2023-07-30_12h46.04.757,magic_trick,2023.1.3,163.0119388499949,
1,0,1,0,,,,,,,,,,,,,,,,,,,32.353621000016574,,704870,001,2023-07-30_12h46.04.757,magic_trick,2023.1.3,163.0119388499949,
2,0,2,0,,,,,,,,,,,,,,,,,,,33.952973300009035,35.25733739999123,704870,001,2023-07-30_12h46.04.757,magic_trick,2023.1.3,163.0119388499949,
3,0,3,0,,,,,,,,,,,,,,,,,,,35.55464760004543,,704870,001,2023-07-30_12h46.04.757,magic_trick,2023.1.3,163.0119388499949,
4,0,4,0,,,,,,,,,,,,,,,,,,,37.15404240001226,,704870,001,2023-07-30_12h46.04.757,magic_trick,2023.1.3,163.0119388499949,
5,0,5,0,,,,,,,,,,,,,,,,,,,38.75282320001861,40.06019570003264,704870,001,2023-07-30_12h46.04.757,magic_trick,2023.1.3,163.0119388499949,
6,0,6,0,,,,,,,,,,,,,,,,,,,40.3518677999964,41.659981000004336,704870,001,2023-07-30_12h46.04.757,magic_trick,2023.1.3,163.0119388499949,
7,0,7,0,,,,,,,,,,,,,,,,,,,41.95173120003892,43.25923140003579,704870,001,2023-07-30_12h46.04.757,magic_trick,2023.1.3,163.0119388499949,
8,0,8,0,,,,,,,,,,,,,,,,,,,43.55023930000607,44.85061640001368,704870,001,2023-07-30_12h46.04.757,magic_trick,2023.1.3,163.0119388499949,
9,0,9,0,,,,,,,,,,,,,,,,,,,45.15376150002703,,704870,001,2023-07-30_12h46.04.757,magic_trick,2023.1.3,163.0119388499949,
10,0,10,0,,,,,,,,,,,,,,,,,,,46.750595599994995,48.0577053000452,704870,001,2023-07-30_12h46.04.757,magic_trick,2023.1.3,163.0119388499949,
11,0,11,0,,,,,,,,,,,,,,,,,,,48.3551288000308,,704870,001,2023-07-30_12h46.04.757,magic_trick,2023.1.3,163.0119388499949,
12,0,12,0,,,,,,,,,,,,,,,,,,,49.954942999989726,,704870,001,2023-07-30_12h46.04.757,magic_trick,2023.1.3,163.0119388499949,
13,0,13,0,,,,,,,,,,,,,,,,,,,51.55410710000433,,704870,001,2023-07-30_12h46.04.757,magic_trick,2023.1.3,163.0119388499949,
14,0,14,0,,,,,,,,,,,,,,,,,,,53.15260790003231,54.45530999999028,704870,001,2023-07-30_12h46.04.757,magic_trick,2023.1.3,163.0119388499949,
15,0,15,0,,,,,,,,,,,,,,,,,,,54.752644399995916,56.06003789999522,704870,001,2023-07-30_12h46.04.757,magic_trick,2023.1.3,163.0119388499949,
16,0,16,0,,,,,,,,,,,,,,,,,,,56.352762800001074,57.659508700016886,704870,001,2023-07-30_12h46.04.757,magic_trick,2023.1.3,163.0119388499949,
17,0,17,0,,,,,,,,,,,,,,,,,,,57.95091300003696,59.258008900040295,704870,001,2023-07-30_12h46.04.757,magic_trick,2023.1.3,163.0119388499949,
18,0,18,0,,,,,,,,,,,,,,,,,,,59.5515784000163,60.85706599999685,704870,001,2023-07-30_12h46.04.757,magic_trick,2023.1.3,163.0119388499949,
19,0,19,0,,,,,,,,,,,,,,,,,,,61.15473320003366,,704870,001,2023-07-30_12h46.04.757,magic_trick,2023.1.3,163.0119388499949,
