trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,text_4.stopped,polygon_2.stopped,a_card.started,a_card.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,11.036600799998268,11.036600799998268,space,5.62488609997672,None,,,,,,,,,,,,,,,,,,,,,,,,,,953436,001,2023-08-04_15h22.28.052,magic_trick,2023.1.3,29.99096072456341,
,,,,,,,,,16.897741900000256,16.897741900000256,16.897741900000256,16.897741900000256,16.897741900000256,16.897741900000256,16.897741900000256,16.897741900000256,16.897741900000256,16.897741900000256,16.897741900000256,space,2.6040124999999534,None,,,,,,,,,,,,953436,001,2023-08-04_15h22.28.052,magic_trick,2023.1.3,29.99096072456341,
,,,,,,,,,,,,,,,,,,,,,,,19.563736100011738,19.563736100011738,space,1.3028667999897152,None,,,,,,,953436,001,2023-08-04_15h22.28.052,magic_trick,2023.1.3,29.99096072456341,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,20.930406900006346,20.930406900006346,21.930078300007153,21.930078300007153,22.429825700004585,23.929930000012973,953436,001,2023-08-04_15h22.28.052,magic_trick,2023.1.3,29.99096072456341,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.397043500008294,25.898118800017983,953436,001,2023-08-04_15h22.28.052,magic_trick,2023.1.3,29.99096072456341,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.39712830001372,27.8965946000244,953436,001,2023-08-04_15h22.28.052,magic_trick,2023.1.3,29.99096072456341,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.429855100024724,29.92986520001432,953436,001,2023-08-04_15h22.28.052,magic_trick,2023.1.3,29.99096072456341,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.396601000014925,31.897036800015485,953436,001,2023-08-04_15h22.28.052,magic_trick,2023.1.3,29.99096072456341,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.39714640000602,33.899179800006095,953436,001,2023-08-04_15h22.28.052,magic_trick,2023.1.3,29.99096072456341,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.39652750000823,35.896911500021815,953436,001,2023-08-04_15h22.28.052,magic_trick,2023.1.3,29.99096072456341,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.42995390002034,37.930240700021386,953436,001,2023-08-04_15h22.28.052,magic_trick,2023.1.3,29.99096072456341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.39708330002031,,,,,,,,
