trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,a_card.started,a_card.stopped,participant,session,date,expName,psychopyVersion,frameRate,
33,0,33,0,,,,,,,,,,,,,,,,,,,89.8221162000118,91.12795950000873,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
34,0,34,0,,,,,,,,,,,,,,,,,,,91.42198520000966,92.73010270000668,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
35,0,35,0,,,,,,,,,,,,,,,,,,,93.0218875999999,94.32796780001081,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
36,0,36,0,,,,,,,,,,,,,,,,,,,94.62150440001278,95.92747840000084,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
37,0,37,0,,,,,,,,,,,,,,,,,,,96.22144250001293,97.52796380000655,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
38,0,38,0,,,,,,,,,,,,,,,,,,,97.8214047000074,99.12850500000059,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
39,0,39,0,,,,,,,,,,,,,,,,,,,99.42117290000897,100.72942250000779,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
40,0,40,0,,,,,,,,,,,,,,,,,,,101.02088450000156,102.32713260001037,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
41,0,41,0,,,,,,,,,,,,,,,,,,,102.62069030001294,103.92719760000182,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
42,0,42,0,,,,,,,,,,,,,,,,,,,104.22064420000243,105.52684030000819,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
43,0,43,0,,,,,,,,,,,,,,,,,,,105.82662040001014,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
44,0,44,0,,,,,,,,,,,,,,,,,,,107.4266714000114,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
45,0,45,0,,,,,,,,,,,,,,,,,,,109.02615600000718,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
46,0,46,0,,,,,,,,,,,,,,,,,,,110.62611630000174,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
47,0,47,0,,,,,,,,,,,,,,,,,,,112.22584640000423,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
48,0,48,0,,,,,,,,,,,,,,,,,,,113.82572670000081,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
49,0,49,0,,,,,,,,,,,,,,,,,,,115.42568820000452,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
50,0,50,0,,,,,,,,,,,,,,,,,,,117.02572180000425,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
51,0,51,0,,,,,,,,,,,,,,,,,,,118.62696490000235,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
52,0,52,0,,,,,,,,,,,,,,,,,,,120.22498560001259,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
53,0,53,0,,,,,,,,,,,,,,,,,,,121.8249494000047,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
54,0,54,0,,,,,,,,,,,,,,,,,,,123.42494130000705,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
55,0,55,0,,,,,,,,,,,,,,,,,,,125.02520610000647,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
56,0,56,0,,,,,,,,,,,,,,,,,,,126.62525790001382,127.93025980000675,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
57,0,57,0,,,,,,,,,,,,,,,,,,,128.22531710000476,129.5307274000079,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
58,0,58,0,,,,,,,,,,,,,,,,,,,129.82473279999977,131.13208790001227,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
59,0,59,0,,,,,,,,,,,,,,,,,,,131.4267799000081,132.7298959000036,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
