1.9308 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
5.2979 	WARNING 	User requested fullscreen with size [1920 1080], but screen is actually [2560, 1600]. Using actual size
5.6799 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000013DB9075DC0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000013DB9075D60>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000013DB9075A60>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000013DBA5EC850>, multiSample=False, name='window1', numSamples=2, pos=(-2560, 0), screen=0, size=array([2560, 1600]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.6799 	EXP 	window1: mouseVisible = True
5.6799 	EXP 	window1: backgroundImage = ''
5.6799 	EXP 	window1: backgroundFit = 'none'
5.6800 	EXP 	window1: mouseVisible = False
5.6800 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
5.6800 	EXP 	window1: recordFrameIntervals = False
5.7406 	EXP 	window1: recordFrameIntervals = True
5.8074 	EXP 	Screen (0) actual frame rate measured at 163.76Hz
5.8074 	EXP 	window1: recordFrameIntervals = False
