18.4643 	EXP 	Created card_shown = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='card_shown', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([300., 400.]), texRes=128.0, units='pix', win=Window(...))
18.5453 	EXP 	text_2: autoDraw = True
24.5853 	DATA 	Mouse: Left button down, pos=(1704,973)
24.6758 	DATA 	Mouse:  Left button up, pos=(1704,973)
25.4215 	WARNING 	Requested image 'queen_of_diamonds' not found but similar filename 'queen_of_diamonds.png' exists. This will be used instead but changing the filename is advised.
25.4405 	WARNING 	Requested image '8_of_spades' not found but similar filename '8_of_spades.png' exists. This will be used instead but changing the filename is advised.
25.4560 	WARNING 	Requested image '5_of_spades' not found but similar filename '5_of_spades.png' exists. This will be used instead but changing the filename is advised.
25.4717 	WARNING 	Requested image 'king_of_clubs' not found but similar filename 'king_of_clubs.png' exists. This will be used instead but changing the filename is advised.
25.4875 	WARNING 	Requested image 'queen_of_hearts' not found but similar filename 'queen_of_hearts.png' exists. This will be used instead but changing the filename is advised.
25.5032 	WARNING 	Requested image '2_of_spades' not found but similar filename '2_of_spades.png' exists. This will be used instead but changing the filename is advised.
25.5185 	WARNING 	Requested image 'ace_of_hearts' not found but similar filename 'ace_of_hearts.png' exists. This will be used instead but changing the filename is advised.
25.5342 	WARNING 	Requested image 'ace_of_clubs' not found but similar filename 'ace_of_clubs.png' exists. This will be used instead but changing the filename is advised.
25.5499 	WARNING 	Requested image '10_of_diamonds' not found but similar filename '10_of_diamonds.png' exists. This will be used instead but changing the filename is advised.
25.5722 	DATA 	Keypress: space
25.5767 	EXP 	text_2: autoDraw = False
25.5767 	EXP 	card_1: image = 'queen_of_diamonds'
25.5767 	EXP 	card_2: image = '8_of_spades'
25.5767 	EXP 	card_3: image = '5_of_spades'
25.5767 	EXP 	card_4: image = 'king_of_clubs'
25.5767 	EXP 	card_5: image = 'queen_of_hearts'
25.5767 	EXP 	card_6: image = '2_of_spades'
25.5767 	EXP 	card_7: image = 'ace_of_hearts'
25.5767 	EXP 	card_8: image = 'ace_of_clubs'
25.5767 	EXP 	card_9: image = '10_of_diamonds'
25.5767 	EXP 	card_1: autoDraw = True
25.5767 	EXP 	card_2: autoDraw = True
25.5767 	EXP 	card_3: autoDraw = True
25.5767 	EXP 	card_4: autoDraw = True
25.5767 	EXP 	card_5: autoDraw = True
25.5767 	EXP 	card_6: autoDraw = True
25.5767 	EXP 	card_7: autoDraw = True
25.5767 	EXP 	card_8: autoDraw = True
25.5767 	EXP 	card_9: autoDraw = True
40.9952 	EXP 	Created sequence: random, trialTypes=1, nReps=50, seed=None
40.9954 	EXP 	New trial (rep=0, index=0): None
40.9956 	WARNING 	Requested image 'ace_of_hearts' not found but similar filename 'ace_of_hearts.png' exists. This will be used instead but changing the filename is advised.
41.0111 	DATA 	Keypress: space
41.0151 	EXP 	card_1: autoDraw = False
41.0151 	EXP 	card_2: autoDraw = False
41.0151 	EXP 	card_3: autoDraw = False
41.0151 	EXP 	card_4: autoDraw = False
41.0151 	EXP 	card_5: autoDraw = False
41.0151 	EXP 	card_6: autoDraw = False
41.0151 	EXP 	card_7: autoDraw = False
41.0151 	EXP 	card_8: autoDraw = False
41.0151 	EXP 	card_9: autoDraw = False
41.0151 	EXP 	card_shown: image = 'ace_of_hearts'
41.2999 	EXP 	card_shown: autoDraw = True
42.5983 	EXP 	New trial (rep=1, index=0): None
42.5986 	WARNING 	Requested image '8_of_spades' not found but similar filename '8_of_spades.png' exists. This will be used instead but changing the filename is advised.
42.6086 	EXP 	card_shown: autoDraw = False
42.6086 	EXP 	card_shown: image = '8_of_spades'
42.8945 	EXP 	card_shown: autoDraw = True
44.1921 	EXP 	New trial (rep=2, index=0): None
44.1924 	WARNING 	Requested image '5_of_spades' not found but similar filename '5_of_spades.png' exists. This will be used instead but changing the filename is advised.
44.2019 	EXP 	card_shown: autoDraw = False
44.2019 	EXP 	card_shown: autoDraw = False
44.2019 	EXP 	card_shown: image = '5_of_spades'
44.5003 	EXP 	card_shown: autoDraw = True
45.7971 	EXP 	New trial (rep=3, index=0): None
45.7974 	WARNING 	Requested image 'queen_of_diamonds' not found but similar filename 'queen_of_diamonds.png' exists. This will be used instead but changing the filename is advised.
45.8064 	EXP 	card_shown: autoDraw = False
45.8064 	EXP 	card_shown: image = 'queen_of_diamonds'
46.0994 	EXP 	card_shown: autoDraw = True
47.3989 	EXP 	New trial (rep=4, index=0): None
47.3991 	WARNING 	Requested image 'ace_of_clubs' not found but similar filename 'ace_of_clubs.png' exists. This will be used instead but changing the filename is advised.
47.4086 	EXP 	card_shown: autoDraw = False
47.4086 	EXP 	card_shown: image = 'ace_of_clubs'
47.6940 	EXP 	card_shown: autoDraw = True
48.9920 	EXP 	New trial (rep=5, index=0): None
48.9922 	WARNING 	Requested image '10_of_diamonds' not found but similar filename '10_of_diamonds.png' exists. This will be used instead but changing the filename is advised.
49.0011 	EXP 	card_shown: autoDraw = False
49.0011 	EXP 	card_shown: autoDraw = False
49.0011 	EXP 	card_shown: image = '10_of_diamonds'
49.2985 	EXP 	card_shown: autoDraw = True
50.5981 	EXP 	New trial (rep=6, index=0): None
50.5984 	WARNING 	Requested image 'ace_of_clubs' not found but similar filename 'ace_of_clubs.png' exists. This will be used instead but changing the filename is advised.
50.6072 	EXP 	card_shown: autoDraw = False
50.6072 	EXP 	card_shown: image = 'ace_of_clubs'
50.8992 	EXP 	card_shown: autoDraw = True
52.1959 	EXP 	New trial (rep=7, index=0): None
52.1962 	WARNING 	Requested image '2_of_spades' not found but similar filename '2_of_spades.png' exists. This will be used instead but changing the filename is advised.
52.2029 	EXP 	card_shown: autoDraw = False
52.2029 	EXP 	card_shown: image = '2_of_spades'
52.4940 	EXP 	card_shown: autoDraw = True
53.7920 	EXP 	New trial (rep=8, index=0): None
53.7923 	WARNING 	Requested image '5_of_spades' not found but similar filename '5_of_spades.png' exists. This will be used instead but changing the filename is advised.
53.7991 	EXP 	card_shown: autoDraw = False
53.7991 	EXP 	card_shown: autoDraw = False
53.7991 	EXP 	card_shown: image = '5_of_spades'
54.0965 	EXP 	card_shown: autoDraw = True
55.3968 	EXP 	New trial (rep=9, index=0): None
55.3971 	WARNING 	Requested image 'queen_of_diamonds' not found but similar filename 'queen_of_diamonds.png' exists. This will be used instead but changing the filename is advised.
55.4071 	EXP 	card_shown: autoDraw = False
55.4071 	EXP 	card_shown: image = 'queen_of_diamonds'
55.6988 	EXP 	card_shown: autoDraw = True
56.9926 	EXP 	New trial (rep=10, index=0): None
56.9929 	WARNING 	Requested image '10_of_diamonds' not found but similar filename '10_of_diamonds.png' exists. This will be used instead but changing the filename is advised.
57.0023 	EXP 	card_shown: autoDraw = False
57.0023 	EXP 	card_shown: autoDraw = False
57.0023 	EXP 	card_shown: image = '10_of_diamonds'
57.2958 	EXP 	card_shown: autoDraw = True
58.5918 	EXP 	New trial (rep=11, index=0): None
58.5921 	WARNING 	Requested image 'ace_of_hearts' not found but similar filename 'ace_of_hearts.png' exists. This will be used instead but changing the filename is advised.
58.6013 	EXP 	card_shown: autoDraw = False
58.6013 	EXP 	card_shown: autoDraw = False
58.6013 	EXP 	card_shown: image = 'ace_of_hearts'
58.8963 	EXP 	card_shown: autoDraw = True
60.1949 	EXP 	New trial (rep=12, index=0): None
60.1952 	WARNING 	Requested image 'queen_of_hearts' not found but similar filename 'queen_of_hearts.png' exists. This will be used instead but changing the filename is advised.
60.2042 	EXP 	card_shown: autoDraw = False
60.2042 	EXP 	card_shown: image = 'queen_of_hearts'
60.4957 	EXP 	card_shown: autoDraw = True
61.7949 	EXP 	New trial (rep=13, index=0): None
61.7951 	WARNING 	Requested image '10_of_diamonds' not found but similar filename '10_of_diamonds.png' exists. This will be used instead but changing the filename is advised.
61.8035 	EXP 	card_shown: autoDraw = False
61.8035 	EXP 	card_shown: image = '10_of_diamonds'
62.0946 	EXP 	card_shown: autoDraw = True
63.3920 	EXP 	New trial (rep=14, index=0): None
63.3923 	WARNING 	Requested image 'ace_of_hearts' not found but similar filename 'ace_of_hearts.png' exists. This will be used instead but changing the filename is advised.
63.3991 	EXP 	card_shown: autoDraw = False
63.3991 	EXP 	card_shown: autoDraw = False
63.3991 	EXP 	card_shown: image = 'ace_of_hearts'
63.6962 	EXP 	card_shown: autoDraw = True
64.9942 	EXP 	New trial (rep=15, index=0): None
64.9944 	WARNING 	Requested image '10_of_diamonds' not found but similar filename '10_of_diamonds.png' exists. This will be used instead but changing the filename is advised.
65.0010 	EXP 	card_shown: autoDraw = False
65.0010 	EXP 	card_shown: autoDraw = False
65.0010 	EXP 	card_shown: image = '10_of_diamonds'
65.2980 	EXP 	card_shown: autoDraw = True
66.5962 	EXP 	New trial (rep=16, index=0): None
66.5965 	WARNING 	Requested image 'ace_of_hearts' not found but similar filename 'ace_of_hearts.png' exists. This will be used instead but changing the filename is advised.
66.6042 	EXP 	card_shown: autoDraw = False
66.6042 	EXP 	card_shown: image = 'ace_of_hearts'
66.8956 	EXP 	card_shown: autoDraw = True
68.1944 	EXP 	New trial (rep=17, index=0): None
68.1947 	WARNING 	Requested image '2_of_spades' not found but similar filename '2_of_spades.png' exists. This will be used instead but changing the filename is advised.
68.2041 	EXP 	card_shown: autoDraw = False
68.2041 	EXP 	card_shown: autoDraw = False
68.2041 	EXP 	card_shown: image = '2_of_spades'
68.4956 	EXP 	card_shown: autoDraw = True
69.7940 	EXP 	New trial (rep=18, index=0): None
69.7943 	WARNING 	Requested image 'queen_of_diamonds' not found but similar filename 'queen_of_diamonds.png' exists. This will be used instead but changing the filename is advised.
69.8036 	EXP 	card_shown: autoDraw = False
69.8036 	EXP 	card_shown: autoDraw = False
69.8036 	EXP 	card_shown: image = 'queen_of_diamonds'
70.0952 	EXP 	card_shown: autoDraw = True
71.3935 	EXP 	New trial (rep=19, index=0): None
71.3937 	WARNING 	Requested image 'king_of_clubs' not found but similar filename 'king_of_clubs.png' exists. This will be used instead but changing the filename is advised.
71.4031 	EXP 	card_shown: autoDraw = False
71.4031 	EXP 	card_shown: autoDraw = False
71.4031 	EXP 	card_shown: image = 'king_of_clubs'
71.6946 	EXP 	card_shown: autoDraw = True
72.9929 	EXP 	New trial (rep=20, index=0): None
72.9931 	WARNING 	Requested image '10_of_diamonds' not found but similar filename '10_of_diamonds.png' exists. This will be used instead but changing the filename is advised.
73.0022 	EXP 	card_shown: autoDraw = False
73.0022 	EXP 	card_shown: autoDraw = False
73.0022 	EXP 	card_shown: image = '10_of_diamonds'
73.2995 	EXP 	card_shown: autoDraw = True
74.5972 	EXP 	New trial (rep=21, index=0): None
74.5975 	WARNING 	Requested image 'king_of_clubs' not found but similar filename 'king_of_clubs.png' exists. This will be used instead but changing the filename is advised.
74.6065 	EXP 	card_shown: autoDraw = False
74.6065 	EXP 	card_shown: image = 'king_of_clubs'
74.8982 	EXP 	card_shown: autoDraw = True
76.1950 	EXP 	New trial (rep=22, index=0): None
76.1952 	WARNING 	Requested image '2_of_spades' not found but similar filename '2_of_spades.png' exists. This will be used instead but changing the filename is advised.
76.2023 	EXP 	card_shown: autoDraw = False
76.2023 	EXP 	card_shown: autoDraw = False
76.2023 	EXP 	card_shown: image = '2_of_spades'
76.4994 	EXP 	card_shown: autoDraw = True
77.7973 	EXP 	New trial (rep=23, index=0): None
77.7976 	WARNING 	Requested image 'queen_of_hearts' not found but similar filename 'queen_of_hearts.png' exists. This will be used instead but changing the filename is advised.
77.8045 	EXP 	card_shown: autoDraw = False
77.8045 	EXP 	card_shown: image = 'queen_of_hearts'
78.0958 	EXP 	card_shown: autoDraw = True
79.3943 	EXP 	New trial (rep=24, index=0): None
79.3946 	WARNING 	Requested image '8_of_spades' not found but similar filename '8_of_spades.png' exists. This will be used instead but changing the filename is advised.
79.4018 	EXP 	card_shown: autoDraw = False
79.4018 	EXP 	card_shown: autoDraw = False
79.4018 	EXP 	card_shown: image = '8_of_spades'
79.6992 	EXP 	card_shown: autoDraw = True
80.9977 	EXP 	New trial (rep=25, index=0): None
80.9980 	WARNING 	Requested image '8_of_spades' not found but similar filename '8_of_spades.png' exists. This will be used instead but changing the filename is advised.
81.0073 	EXP 	card_shown: autoDraw = False
81.0073 	EXP 	card_shown: image = '8_of_spades'
81.2990 	EXP 	card_shown: autoDraw = True
82.5967 	EXP 	New trial (rep=26, index=0): None
82.5970 	WARNING 	Requested image '10_of_diamonds' not found but similar filename '10_of_diamonds.png' exists. This will be used instead but changing the filename is advised.
82.6056 	EXP 	card_shown: autoDraw = False
82.6056 	EXP 	card_shown: image = '10_of_diamonds'
82.8972 	EXP 	card_shown: autoDraw = True
84.1950 	EXP 	New trial (rep=27, index=0): None
84.1952 	WARNING 	Requested image '10_of_diamonds' not found but similar filename '10_of_diamonds.png' exists. This will be used instead but changing the filename is advised.
84.2038 	EXP 	card_shown: autoDraw = False
84.2038 	EXP 	card_shown: image = '10_of_diamonds'
84.4953 	EXP 	card_shown: autoDraw = True
85.7933 	EXP 	New trial (rep=28, index=0): None
85.7936 	WARNING 	Requested image 'queen_of_hearts' not found but similar filename 'queen_of_hearts.png' exists. This will be used instead but changing the filename is advised.
85.8028 	EXP 	card_shown: autoDraw = False
85.8028 	EXP 	card_shown: autoDraw = False
85.8028 	EXP 	card_shown: image = 'queen_of_hearts'
86.0943 	EXP 	card_shown: autoDraw = True
87.3923 	EXP 	New trial (rep=29, index=0): None
87.3926 	WARNING 	Requested image 'ace_of_hearts' not found but similar filename 'ace_of_hearts.png' exists. This will be used instead but changing the filename is advised.
87.4024 	EXP 	card_shown: autoDraw = False
87.4024 	EXP 	card_shown: autoDraw = False
87.4024 	EXP 	card_shown: image = 'ace_of_hearts'
87.6934 	EXP 	card_shown: autoDraw = True
88.9905 	EXP 	New trial (rep=30, index=0): None
88.9907 	WARNING 	Requested image 'ace_of_hearts' not found but similar filename 'ace_of_hearts.png' exists. This will be used instead but changing the filename is advised.
88.9975 	EXP 	card_shown: autoDraw = False
88.9975 	EXP 	card_shown: autoDraw = False
88.9975 	EXP 	card_shown: image = 'ace_of_hearts'
89.2945 	EXP 	card_shown: autoDraw = True
90.5931 	EXP 	New trial (rep=31, index=0): None
90.5934 	WARNING 	Requested image '5_of_spades' not found but similar filename '5_of_spades.png' exists. This will be used instead but changing the filename is advised.
90.6006 	EXP 	card_shown: autoDraw = False
90.6006 	EXP 	card_shown: autoDraw = False
90.6006 	EXP 	card_shown: image = '5_of_spades'
