trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,card_shown.started,card_shown.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,37.96563970000716,37.96563970000716,space,56.20739070000127,None,,,,,,,,,,,,,,,,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
,,,,,,,,,94.33914050000021,94.33914050000021,94.33914050000021,94.33914050000021,94.33914050000021,94.33914050000021,94.33914050000021,94.33914050000021,94.33914050000021,94.33914050000021,space,4.993343599955551,None,,,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
0,0,0,0,,,,,,,,,,,,,,,,,,,99.63712039997336,100.94239159999415,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
1,0,1,0,,,,,,,,,,,,,,,,,,,101.23951260000467,102.54449689999456,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
2,0,2,0,,,,,,,,,,,,,,,,,,,102.84160889999475,,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
3,0,3,0,,,,,,,,,,,,,,,,,,,104.43853509996552,105.74434489995474,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
4,0,4,0,,,,,,,,,,,,,,,,,,,106.04186930001015,,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
5,0,5,0,,,,,,,,,,,,,,,,,,,107.6429612999782,,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
6,0,6,0,,,,,,,,,,,,,,,,,,,109.23794580000686,110.54545269999653,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
7,0,7,0,,,,,,,,,,,,,,,,,,,110.84264009998878,,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
8,0,8,0,,,,,,,,,,,,,,,,,,,112.44222029997036,,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
9,0,9,0,,,,,,,,,,,,,,,,,,,114.03710610000417,115.3436578999972,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
10,0,10,0,,,,,,,,,,,,,,,,,,,115.64155659999233,,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
11,0,11,0,,,,,,,,,,,,,,,,,,,117.24108939996222,,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
12,0,12,0,,,,,,,,,,,,,,,,,,,118.8406175999553,,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
13,0,13,0,,,,,,,,,,,,,,,,,,,120.44050849997438,,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
14,0,14,0,,,,,,,,,,,,,,,,,,,122.04014429997187,123.34774689999176,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
15,0,15,0,,,,,,,,,,,,,,,,,,,123.6390102999867,124.94706839998253,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
16,0,16,0,,,,,,,,,,,,,,,,,,,125.23845080001047,126.54643779998878,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
17,0,17,0,,,,,,,,,,,,,,,,,,,126.83818669995526,128.1463562999852,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
18,0,18,0,,,,,,,,,,,,,,,,,,,128.43701220001094,129.74596599995857,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
19,0,19,0,,,,,,,,,,,,,,,,,,,130.03716979996534,131.34492459998,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
20,0,20,0,,,,,,,,,,,,,,,,,,,131.64210349996574,,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
21,0,21,0,,,,,,,,,,,,,,,,,,,133.24233579996508,,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
22,0,22,0,,,,,,,,,,,,,,,,,,,134.83996239997214,136.14206340000965,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
23,0,23,0,,,,,,,,,,,,,,,,,,,136.43954509997275,137.74176339997211,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
24,0,24,0,,,,,,,,,,,,,,,,,,,138.03925299999537,139.34170160000212,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
25,0,25,0,,,,,,,,,,,,,,,,,,,139.63918369996827,140.94656899996335,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
26,0,26,0,,,,,,,,,,,,,,,,,,,141.23766839999007,142.54568499996094,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
27,0,27,0,,,,,,,,,,,,,,,,,,,142.83682089997455,144.14434880000772,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
28,0,28,0,,,,,,,,,,,,,,,,,,,144.4417218999588,,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
29,0,29,0,,,,,,,,,,,,,,,,,,,146.03901780000888,147.34503550000954,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
30,0,30,0,,,,,,,,,,,,,,,,,,,147.64254039997468,,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
31,0,31,0,,,,,,,,,,,,,,,,,,,149.23962569999276,150.5478918000008,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
32,0,32,0,,,,,,,,,,,,,,,,,,,150.83900410000933,152.14708739996422,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
33,0,33,0,,,,,,,,,,,,,,,,,,,152.43825309997192,153.74591120000696,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
34,0,34,0,,,,,,,,,,,,,,,,,,,154.037085799966,155.34545959997922,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
35,0,35,0,,,,,,,,,,,,,,,,,,,155.64277799997944,,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
36,0,36,0,,,,,,,,,,,,,,,,,,,157.23753340000985,158.5434896000079,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
37,0,37,0,,,,,,,,,,,,,,,,,,,158.84060039999895,,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
38,0,38,0,,,,,,,,,,,,,,,,,,,160.4382564999978,161.74455909995595,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
39,0,39,0,,,,,,,,,,,,,,,,,,,162.0428861999535,,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
40,0,40,0,,,,,,,,,,,,,,,,,,,163.6373872999684,164.94418529997347,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
41,0,41,0,,,,,,,,,,,,,,,,,,,165.2417354999925,,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
42,0,42,0,,,,,,,,,,,,,,,,,,,166.8402594999643,168.14776259998325,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
43,0,43,0,,,,,,,,,,,,,,,,,,,168.43892290000804,169.758299899986,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
44,0,44,0,,,,,,,,,,,,,,,,,,,170.04246409999905,,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
45,0,45,0,,,,,,,,,,,,,,,,,,,171.64211459999206,,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
46,0,46,0,,,,,,,,,,,,,,,,,,,173.2370665000053,174.5454008000088,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
47,0,47,0,,,,,,,,,,,,,,,,,,,174.84264529997017,,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
48,0,48,0,,,,,,,,,,,,,,,,,,,176.44213439995656,,482365,001,2023-07-31_11h12.14.386,magic_trick,2023.1.3,165.19559987303688,
